"Local", "População no último censo"
"Jucás", 23922
"Senador Sá", 7262
"Morada Nova", 61443
"Chaval", 12462
"Pentecoste", 37813
"Camocim", 62326
"Chorozinho", 20163
"Nova Olinda", 15399
"Choró", 12113
"Cascavel", 72720
"Beberibe", 53114
"Ibiapina", 23965
"Ibicuitinga", 11611
"Itatira", 20424
"Potengi", 8833
"Baixio", 5704
"Alcântaras", 11369
"Banabuiú", 17195
"Quiterianópolis", 20213
"Icapuí", 21433
"Potiretama", 5974
"Coreaú", 20953
"Martinópole", 10846
"Pacatuba", 81524
"Pereiro", 15274
"Uruburetama", 20189
"Groaíras", 10910
"São João do Jaguaribe", 5855
"Missão Velha", 36822
"Aquiraz", 80645
"Pindoretama", 23391
"Guaiúba", 24325
"Catarina", 10243
"Bela Cruz", 32775
"Jardim", 27411
"Jaguaretama", 17232
"Quixadá", 84168
"Barbalha", 75033
"Altaneira", 6782
"Palhano", 9346
"Solonópole", 18179
"Catunda", 10444
"Icó", 62642
"Barreira", 22392
"Crateús", 76390
"Pacoti", 11186
"Uruoca", 13746
"Jati", 7861
"General Sampaio", 6734
"São Luís do Curu", 10822
"Varjota", 18105
"Mombaça", 37735
"Russas", 72928
"Caucaia", 355679
"Graça", 13801
"Pedra Branca", 40187
"Santa Quitéria", 40183
"Jijoca de Jericoacoara", 25555
"Tururu", 15412
"Mucambo", 13666
"Várzea Alegre", 38984
"Cariús", 17015
"Barro", 19381
"Guaramiranga", 5654
"Itapipoca", 131123
"Barroquinha", 14567
"Poranga", 12065
"Assaré", 21697
"Acopiara", 44962
"Capistrano", 17254
"Maranguape", 105093
"Orós", 19675
"Saboeiro", 13854
"Penaforte", 8972
"Ubajara", 32767
"Granja", 53344
"São Benedito", 47640
"Meruoca", 15157
"Salitre", 16633
"Carnaubal", 17210
"Baturité", 35218
"Viçosa do Ceará", 59712
"Itapiúna", 17841
"Porteiras", 17050
"Aurora", 23714
"Aiuaba", 14076
"Itarema", 42957
"Hidrolândia", 17855
"Ibaretama", 11956
"Marco", 25799
"Horizonte", 74755
"Granjeiro", 4841
"Pacajus", 70983
"Umari", 6871
"Jaguaruana", 31701
"São Gonçalo do Amarante", 54143
"Ipaumirim", 12083
"Umirim", 17470
"Fortaleza", 2428708
"Milagres", 25900
"Miraíma", 14196
"Redenção", 27214
"Milhã", 14123
"Fortim", 17294
"Parambu", 31445
"Apuiarés", 12928
"Tauá", 61227
"Tejuçuoca", 17154
"Santana do Acaraú", 30628
"Cariré", 17632
"Sobral", 203023
"Itaiçaba", 7536
"Moraújo", 8254
"Aratuba", 11224
"Abaiara", 10038
"Itaitinga", 64650
"Campos Sales", 25135
"Lavras da Mangabeira", 30802
"Nova Russas", 30699
"Acarape", 14027
"Reriutaba", 18606
"Paramoti", 10384
"Tianguá", 81506
"Ipu", 41081
"Frecheirinha", 15657
"Santana do Cariri", 16954
"Massapê", 37697
"Caririaçu", 26320
"Itapajé", 46426
"Arneiroz", 7429
"Acaraú", 65264
"Quixelô", 15910
"Guaraciaba do Norte", 42053
"Limoeiro do Norte", 59560
"Morrinhos", 22753
"Madalena", 16896
"Aracati", 75113
"Piquet Carneiro", 16616
"Canindé", 74174
"Ipueiras", 36798
"Maracanaú", 234509
"Novo Oriente", 27545
"Ocara", 24493
"Pires Ferreira", 10606
"Boa Viagem", 50411
"Trairi", 58415
"Iguatu", 98064
"Crato", 131050
"Mauriti", 45561
"Quixeramobim", 82177
"Cruz", 29761
"Alto Santo", 14155
"Palmácia", 10242
"Tabuleiro do Norte", 30652
"Croatá", 17481
"Eusébio", 74170
"Deputado Irapuan Pinheiro", 8932
"Ereré", 6474
"Jaguaribara", 10356
"Pacujá", 6175
"Amontada", 42156
"Iracema", 14001
"Senador Pompeu", 24266
"Monsenhor Tabosa", 17149
"Aracoiaba", 25553
"Ararendá", 11096
"Cedro", 22344
"Brejo Santo", 51090
"Juazeiro do Norte", 286120
"Mulungu", 10569
"Quixeré", 20874
"Paracuru", 38980
"Antonina do Norte", 7245
"Tamboril", 24815
"Independência", 24024
"Farias Brito", 18217
"Ipaporanga", 11575
"Jaguaribe", 33726
"Paraipaba", 32216
"Forquilha", 24173
"Caridade", 16377
"Tarrafas", 7529
"Irauçuba", 23915
"Araripe", 19783
